query,difficulty,type,bm25,semantic_search,hybrid_rag_llama-3.1-8b-instant,hybrid_rag_openai/gpt-oss-20b
harry potter,Easy,Keyword,"[{""title"": ""Harry Potter y el legado maldito / Harry Potter and the Cursed Child (Spanish Edition)"", ""author"": ""J.K. Rowling"", ""rating"": 4.5, ""score"": 20.3725}, {""title"": ""\u0643\u0648\u0627\u0644\u064a\u0633 \u0647\u0627\u0631\u064a \u0628\u0648\u062a\u0631 - Harry Potter Film Wizardry (Arabic Edition)"", ""author"": ""Brian Sibley"", ""rating"": 4.1, ""score"": 20.3398}, {""title"": ""Complete 1-st Edition Harry Potter Full Book Set Volumes 1-7 Hardback by J. K. Rowling"", ""author"": ""J.K. Rowling"", ""rating"": 4.6, ""score"": 20.1572}, {""title"": ""Harry Potter: Exploring Hogwarts\u00a0\u2122 Sticky Note Tin Set (Set of 3)"", ""author"": """", ""rating"": 4.4, ""score"": 18.8335}, {""title"": ""Harry Potter: The Dark Arts (Tiny Book)"", ""author"": ""Insight Editions"", ""rating"": 4.5, ""score"": 18.6436}]","[{""title"": ""Fantastic Beasts and Where to Find Them"", ""author"": ""J.K. Rowling"", ""rating"": 4.7, ""score"": 0.9577}, {""title"": ""Harry Potter: The Dark Arts (Tiny Book)"", ""author"": ""Insight Editions"", ""rating"": 4.5, ""score"": 1.025}, {""title"": ""Wizard's Hall"", ""author"": ""Jane Yolen"", ""rating"": 4.6, ""score"": 1.0985}, {""title"": ""\u0643\u0648\u0627\u0644\u064a\u0633 \u0647\u0627\u0631\u064a \u0628\u0648\u062a\u0631 - Harry Potter Film Wizardry (Arabic Edition)"", ""author"": ""Brian Sibley"", ""rating"": 4.1, ""score"": 1.1353}, {""title"": ""Complete 1-st Edition Harry Potter Full Book Set Volumes 1-7 Hardback by J. K. Rowling"", ""author"": ""J.K. Rowling"", ""rating"": 4.6, ""score"": 1.1394}]","Based on the Amazon dataset, I recommend the following Harry Potter books:

1. **Complete 1-st Edition Harry Potter Full Book Set Volumes 1-7 Hardback by J. K. Rowling**: This is a hardcover set of the entire series, perfect for any Harry Potter fan. (Rating: 4.6)
2. **Harry Potter: The Dark Arts (Tiny Book)**: This collectible tiny art book features facts and art from the Harry Potter films, exploring the mysterious and sinister Dark Arts. (Rating: 4.5)
3. **Fantastic Beasts and Where to Find Them**: This companion book to the Harry Potter series, written by J.K. Rowling, is a must-read for fans of the wizarding world. (Rating: 4.7)
4. **Harry Potter y el legado maldito / Harry Potter and the Cursed Child (Spanish Edition)**: This play, written by J.K. Rowling, John Tiffany, and Jack Thorne, is the eighth story in the Harry Potter series and follows the story of Harry's son Albus. (Rating: 4.5)

These recommendations are based on the Amazon dataset and are sure to satisfy any Harry Potter fan's cravings!","**Recommended Harry Potter books**

- **كواليس هاري بوتر – Harry Potter Film Wizardry (Arabic Edition)** – A behind‑the‑scenes look at the movies, great for fans who want to see how the films were made.  
- **Harry Potter: The Dark Arts (Tiny Book)** – A pocket‑size collectible with art and facts about the darker side of the series; fun for collectors or younger readers.  
- **Complete 1‑st Edition Harry Potter Full Book Set Volumes 1‑7 Hardback** – The full hard‑cover set of the original seven novels, perfect for a library or a gift.  
- **Harry Potter y el legado maldito / Harry Potter and the Cursed Child (Spanish Edition)** – The official play‑script in Spanish, offering a new story set after the original series.  
- **Fantastic Beasts and Where to Find Them** – A companion guide to the wider wizarding world, written by J.K. Rowling.  

These titles cover the main novels, behind‑the‑scenes material, collectible editions, and the expanded universe."
learn python programming beginner,Easy,Keyword,"[{""title"": ""LEARN MICROPYTHON: Learn Basics Programming Hardware in MicroPython, ESP32 Programming, Arduino, Example Code, PWM, SPI Bus, I2C Bus and More"", ""author"": """", ""rating"": 1.8, ""score"": 27.6865}, {""title"": ""40 Algorithms Every Programmer Should Know: Hone your problem-solving skills by learning different algorithms and their implementation in Python"", ""author"": ""Imran Ahmad"", ""rating"": 4.3, ""score"": 24.4754}, {""title"": ""101 Extra Python Challenges with Solutions / Code Listings"", ""author"": """", ""rating"": 4.5, ""score"": 23.62}, {""title"": ""Visual Basic 6"", ""author"": ""Harold Davis"", ""rating"": 3.9, ""score"": 19.7422}, {""title"": ""Starting Out with C++: From Control Structures through Objects, Brief Edition plus MyProgrammingLab with Pearson eText - Access Card Package (7th Edition)"", ""author"": ""Tony Gaddis"", ""rating"": 4.4, ""score"": 18.6963}]","[{""title"": ""101 Extra Python Challenges with Solutions / Code Listings"", ""author"": """", ""rating"": 4.5, ""score"": 0.7462}, {""title"": ""LEARN MICROPYTHON: Learn Basics Programming Hardware in MicroPython, ESP32 Programming, Arduino, Example Code, PWM, SPI Bus, I2C Bus and More"", ""author"": """", ""rating"": 1.8, ""score"": 0.8575}, {""title"": ""Guide to Java: A Concise Introduction to Programming (Undergraduate Topics in Computer Science)"", ""author"": ""James T. Streib"", ""rating"": 2.4, ""score"": 1.0734}, {""title"": ""Hands-On Cryptography with Python: Leverage the power of Python to encrypt and decrypt data"", ""author"": """", ""rating"": 3.6, ""score"": 1.1033}, {""title"": ""Practical Django Projects (Pratical Projects)"", ""author"": ""James Bennett"", ""rating"": 3.8, ""score"": 1.1288}]","Based on the Amazon dataset, I recommend the following books for learning Python programming as a beginner:

1. **101 Extra Python Challenges with Solutions / Code Listings** by (Author unknown) - This book provides a clear and concise approach to learning Python programming, with 101 carefully selected challenges to help you develop and apply your programming skills.
2. **40 Algorithms Every Programmer Should Know: Hone your problem-solving skills by learning different algorithms and their implementation in Python** by Imran Ahmad - While this book is more focused on algorithms, it provides a comprehensive introduction to Python programming and covers various topics, including data structures, graph algorithms, and machine learning.
3. **Guide to Java: A Concise Introduction to Programming (Undergraduate Topics in Computer Science)** by James T. Streib - Although this book is about Java, not Python, it provides a great introduction to programming concepts that are transferable to Python. However, keep in mind that Java and Python have different syntax and ecosystems.

However, I would like to highlight **101 Extra Python Challenges with Solutions / Code Listings** as the top pick for a beginner's book on Python programming. The book's review praises its clear and concise approach, making it an excellent choice for those new to Python programming.","**Recommended beginner‑Python books from the Amazon data**

| Title | Why it’s a good start |
|-------|-----------------------|
| **101 Extra Python Challenges with Solutions** | Rated 4.5★, this book offers clear, bite‑size exercises that build core Python skills step‑by‑step. It’s designed for readers who want hands‑on practice after learning the basics. |
| **LEARN MICROPYTHON: Learn Basics Programming Hardware in MicroPython, ESP32 Programming, Arduino…** | If you’re interested in applying Python to embedded hardware, this book teaches MicroPython fundamentals and practical examples (PWM, SPI, I2C). It’s beginner‑friendly for those who want to combine coding with electronics. |

These titles are the only Python‑focused books in the provided dataset that cater to beginners. If you’re looking for pure software‑focused Python learning, the first book is the most suitable."
overcoming grief after losing a loved one,Medium,Semantic,"[{""title"": ""Through It All"", ""author"": """", ""rating"": 4.9, ""score"": 18.7745}, {""title"": ""30 Days toward Healing Your Grief: A Workbook for Healing"", ""author"": """", ""rating"": 4.4, ""score"": 18.1447}, {""title"": ""Gravity's Embrace: A True Unsolved Mystery Surrounding An Alaskan Pilot"", ""author"": """", ""rating"": 4.6, ""score"": 16.9321}, {""title"": ""Naked and Not Ashamed"", ""author"": """", ""rating"": 4.5, ""score"": 15.6377}, {""title"": ""Small Boy Big Profits: How Resilience And Mindset Can Change Your Life"", ""author"": """", ""rating"": 5.0, ""score"": 15.3559}]","[{""title"": ""Anatomy of Grief: An Inspirational Guide to Surviving the Death of Your Child"", ""author"": ""Barbara Repczynski"", ""rating"": 5.0, ""score"": 0.6656}, {""title"": ""I'm Grieving as Fast as I Can: How Young Widows and Widowers Can Cope and Heal"", ""author"": ""Linda Sones Feinberg"", ""rating"": 4.5, ""score"": 0.8738}, {""title"": ""Elf-Help Grief Therapy - Self-Help Encouragement 20178-ABBEY"", ""author"": """", ""rating"": 4.5, ""score"": 0.8863}, {""title"": ""You Will See Your Baby In Heaven: A Man's Perspective of Stillbirth"", ""author"": """", ""rating"": 4.9, ""score"": 0.9085}, {""title"": ""The Birth We Call Death"", ""author"": ""Paul H. Dunn"", ""rating"": 4.7, ""score"": 0.9349}]","Based on the Amazon dataset, here are some book recommendations for overcoming grief after losing a loved one:

1. **Anatomy of Grief: An Inspirational Guide to Surviving the Death of Your Child** by Barbara Repczynski - This book offers a personal and inspiring guide to coping with the loss of a child and finding a way back to life.
2. **30 Days toward Healing Your Grief: A Workbook for Healing** by Danielle Morris - This workbook provides a Christ-centered support system for healing from loss, guiding readers from pain to joyful living.
3. **I'm Grieving as Fast as I Can: How Young Widows and Widowers Can Cope and Heal** by Linda Sones Feinberg - This guide offers practical advice and support for young widows and widowers as they navigate the grieving process.
4. **Gravity's Embrace: A True Unsolved Mystery Surrounding An Alaskan Pilot** by Cynthia Young Fackrell - While not directly focused on grief, this true story of a missing pilot and his family's search offers insights into coping with uncertainty and appreciating life amidst grief.

These books offer a range of perspectives and approaches to overcoming grief, from inspirational guides to practical workbooks and true stories of resilience.","**Recommended titles for overcoming grief after losing a loved one**

| Book | Why it helps |
|------|--------------|
| **Anatomy of Grief: An Inspirational Guide to Surviving the Death of Your Child** | Offers a step‑by‑step path to move from deep mourning to a renewed life, with practical tips to shorten the grip of grief. |
| **30 Days toward Healing Your Grief: A Workbook for Healing** | Uses a Christ‑centered, eight‑week methodology that guides readers from “my loved one died” to “how I must live to honor their memory,” with daily reflections and prayers. |
| **I’m Grieving as Fast as I Can: How Young Widows and Widowers Can Cope and Heal** | Focuses on the unique challenges of young widows/widowers, providing relatable stories and coping strategies for the grieving process. |

These books are specifically designed to support people navigating loss and to help them rebuild hope and meaning."
self-help book for managing anxiety and stress at work,Medium,Semantic,"[{""title"": ""The Art of Calm: Relaxation Through the Five Senses"", ""author"": ""Brian Luke Seaward"", ""rating"": 3.6, ""score"": 24.2155}, {""title"": ""Emotional Core Therapy"", ""author"": ""Robert A Moylan"", ""rating"": 4.3, ""score"": 21.6989}, {""title"": ""The Complete Credit Repair Kit + Cd-rom"", ""author"": ""Brette Sember"", ""rating"": 4.1, ""score"": 20.5283}, {""title"": ""Loving Someone With Ocd: Help for You & Your Family"", ""author"": ""Cherry Pedrick"", ""rating"": 4.5, ""score"": 20.4995}, {""title"": ""Mandalas and More Adult Coloring Book: Over 100 illustrations for stress relief, Autism, ADHD and depression. For adults and children. By Dr. Robert K. Wheeler Jr. (Fantastic Adult Coloring Books)"", ""author"": ""Dr. Robert K. Wheeler Jr."", ""rating"": 5.0, ""score"": 19.1773}]","[{""title"": ""The Art of Calm: Relaxation Through the Five Senses"", ""author"": ""Brian Luke Seaward"", ""rating"": 3.6, ""score"": 0.8877}, {""title"": ""Cognitive Behavioral Therapy: A Psychologist's Guide to Overcome Anxiety, Depression, & Negative Thought Patterns: Psychology Self-Help, Book 5"", ""author"": """", ""rating"": 3.8, ""score"": 0.8919}, {""title"": ""Emotional Core Therapy"", ""author"": ""Robert A Moylan"", ""rating"": 4.3, ""score"": 0.9435}, {""title"": ""Anxious for Nothing: Finding Calm in a Chaotic World"", ""author"": """", ""rating"": 4.8, ""score"": 0.9726}, {""title"": ""2019 Daily Self-Care Diary: for BPD"", ""author"": """", ""rating"": 3.0, ""score"": 0.9866}]","Based on the provided Amazon dataset, I would recommend the following self-help books for managing anxiety and stress at work:

1. **Emotional Core Therapy** by Robert A. Moylan: This book provides a step-by-step process to gain emotional balance and manage stress. It's easy to read and understand, making it a great resource for managing anxiety and stress at work.
2. **The Art of Calm: Relaxation Through the Five Senses** by Brian Luke Seaward: While not specifically focused on work-related anxiety, this book provides practical tips and techniques to achieve calm and relaxation, which can be beneficial for managing stress at work.
3. **Cognitive Behavioral Therapy: A Psychologist's Guide to Overcome Anxiety, Depression, & Negative Thought Patterns** (Note: The author is not specified in the dataset): Although the rating is 3.8, this book provides a comprehensive guide to cognitive behavioral therapy, which can be helpful in managing anxiety and stress at work.

These books offer a range of perspectives and approaches to managing anxiety and stress, and can be a great starting point for anyone looking to improve their well-being at work.","**Self‑help books that can help you reduce anxiety and stress at work**

| Title | Why it fits |
|-------|-------------|
| **The Art of Calm: Relaxation Through the Five Senses** – Brian Luke Seaward | A practical guide to stress‑management with meditation, yoga, and herbal tips that you can apply during a busy workday. |
| **Emotional Core Therapy** – Robert A. Moylan | Focuses on identifying and processing the four core emotions that trigger stress, offering step‑by‑step tools to stay calm in workplace relationships. |
| **Cognitive Behavioral Therapy: A Psychologist's Guide to Overcome Anxiety, Depression, & Negative Thought Patterns** | Uses CBT techniques to reframe negative thoughts and anxiety that often surface at work, helping you maintain a clearer, more productive mindset. |

These titles are directly in the “Self‑Help / Stress Management” categories and provide actionable strategies for managing workplace anxiety."
historical novel about World War 2 from a civilian perspective,Hard,Multi-attribute,"[{""title"": ""Caves, Cannons and Crinolines"", ""author"": ""Beverly Stowe McClure"", ""rating"": 4.3, ""score"": 20.2658}, {""title"": ""Just War Reconsidered: Strategy, Ethics, and Theory (Battles and Campaigns Series)"", ""author"": """", ""rating"": 4.5, ""score"": 18.5409}, {""title"": ""A High and Hidden Place: A Novel"", ""author"": ""Michele Claire Lucas"", ""rating"": 4.0, ""score"": 16.1723}, {""title"": ""Writings of a Rebel Colonel: The Civil War Diary and Letters of Samuel Walkup, 48th North Carolina Infantry"", ""author"": """", ""rating"": 3.5, ""score"": 15.4286}, {""title"": ""A Tale of Two Maidens: A Medieval French Story of Fate, Adventure, and the Hundred Years' War"", ""author"": ""Anne Echols"", ""rating"": 4.6, ""score"": 14.446}]","[{""title"": ""BBC History Magazine:The Second World War Story"", ""author"": """", ""rating"": 5.0, ""score"": 0.7277}, {""title"": ""Modern Warfare"", ""author"": ""Ashley Brown"", ""rating"": 4.0, ""score"": 0.7424}, {""title"": ""The World War Two Reader (Routledge Readers in History)"", ""author"": ""Gordon Martel"", ""rating"": 3.7, ""score"": 0.7466}, {""title"": ""The Meaning of the Second World War (Verso World History Series)"", ""author"": ""Ernest Mandel"", ""rating"": 4.2, ""score"": 0.8181}, {""title"": ""Command decision (Five great classic stories of World War II)"", ""author"": ""William Wister Haines"", ""rating"": 4.1, ""score"": 0.8446}]","Based on the provided Amazon dataset, I recommend the following historical novels about World War 2 from a civilian perspective:

1. **A High and Hidden Place: A Novel** by Michele Claire Lucas - This novel is set in a small French village during World War 2 and explores the aftermath of the war through the eyes of a young woman named Christine Lenoir. It's a powerful story of family, loss, and survival.
2. **BBC History Magazine: The Second World War Story** (no author specified) - Although the author is not mentioned, this book appears to be a historical account of World War 2 from the British perspective. It's a 5-star rated book that offers a unique perspective on the war.

These recommendations are based on the given dataset, and I hope you find them helpful in your search for a historical novel about World War 2 from a civilian perspective.","**Recommended book**

- **A High and Hidden Place: A Novel** by Michele Claire Lucas  
  *A historical novel that follows a woman uncovering the story of the 1944 Oradour-sur-Glane massacre, giving readers an intimate civilian view of the war’s impact on ordinary people.*"
stephen king horror novel,Easy,Keyword,"[{""title"": ""Shining in the Dark: Celebrating 20 Years of Lilja's Library"", ""author"": ""Kevin Quigley"", ""rating"": 4.5, ""score"": 23.8919}, {""title"": ""Turn Down The Lights"", ""author"": ""Richard Chizmar"", ""rating"": 4.3, ""score"": 21.9512}, {""title"": ""FAIRY TALE"", ""author"": ""Stephen King"", ""rating"": 4.4, ""score"": 21.8365}, {""title"": ""The Green Mile"", ""author"": ""Stephen King"", ""rating"": 4.8, ""score"": 21.1684}, {""title"": ""Thinner"", ""author"": ""Stephen King"", ""rating"": 4.5, ""score"": 21.0845}]","[{""title"": ""Shining in the Dark: Celebrating 20 Years of Lilja's Library"", ""author"": ""Kevin Quigley"", ""rating"": 4.5, ""score"": 0.5475}, {""title"": ""FAIRY TALE"", ""author"": ""Stephen King"", ""rating"": 4.4, ""score"": 0.6265}, {""title"": ""Thinner"", ""author"": ""Stephen King"", ""rating"": 4.5, ""score"": 0.7134}, {""title"": ""KINGS OF HORROR"", ""author"": """", ""rating"": 5.0, ""score"": 0.7726}, {""title"": ""Halloween: The Official Movie Novelization"", ""author"": """", ""rating"": 4.7, ""score"": 0.8837}]","Based on the provided Amazon dataset, I recommend the following Stephen King horror novels:

1. **Thinner** (4.5/5) - A #1 national bestseller about a man's quest to reverse his nightmare and find the source of his weight loss.
2. **The Green Mile** (4.8/5) - A character-driven story about a death row supervisor who discovers one of the prisoners may have supernatural healing powers.
3. **FAIRY TALE** (4.4/5) is actually a non-horror book by Stephen King, but I'll exclude it from the list.

These novels are all highly rated and classified as horror by Amazon, making them great recommendations for fans of the genre.","**Recommended Stephen King horror novel:**  
**Thinner** – A chilling tale of a man cursed to lose weight at an alarming rate, blending psychological dread with supernatural revenge. The story is widely recognized as one of King’s classic horror works."
romance novel with enemies to lovers trope,Medium,Keyword,"[{""title"": ""For a Glance (Serpent's Throne Trilogy)"", ""author"": """", ""rating"": 3.9, ""score"": 20.5328}, {""title"": ""Reign Returned: The Felserpent Chronicles"", ""author"": ""Katie Keridan"", ""rating"": 4.7, ""score"": 19.831}, {""title"": ""Something So Right: Something So, Book 1"", ""author"": """", ""rating"": 4.4, ""score"": 18.6677}, {""title"": ""His Lessons on Love: A Logical Man's Guide to Dangerous Women Novel"", ""author"": """", ""rating"": 4.6, ""score"": 18.4342}, {""title"": ""Cattle Stop"", ""author"": ""Kit Oliver"", ""rating"": 4.3, ""score"": 18.0161}]","[{""title"": ""Letting Love Win"", ""author"": ""Alysia S. Knight"", ""rating"": 4.1, ""score"": 0.8564}, {""title"": ""A Rose in Winter [Paperback] by Woodiwiss, Kathleen E."", ""author"": """", ""rating"": 4.7, ""score"": 0.8957}, {""title"": ""To Love and to Cherish (Victorian Trilogy)"", ""author"": ""Patricia Gaffney"", ""rating"": 3.8, ""score"": 0.9097}, {""title"": ""The Liar: An enemies to lovers billionaire romance"", ""author"": ""Alexandra Silva"", ""rating"": 4.1, ""score"": 0.9242}, {""title"": ""Kiss from a Stranger (Camfield Novels of Love #79)"", ""author"": ""Barbara Cartland"", ""rating"": 4.4, ""score"": 0.9316}]","Based on the Amazon dataset, I recommend the following romance novels with the enemies-to-lovers trope:

1. **Reign Returned: The Felserpent Chronicles** by Katie Keridan - This young adult fantasy romance novel features a complex story with a great romance that brings people together, but ultimately tears them apart. The enemies-to-lovers trope is a significant part of the story, making it a great fit for your request.

2. **Letting Love Win** by Alysia S. Knight - While the description doesn't explicitly mention the enemies-to-lovers trope, the rating and good reviews suggest that it might be a romance novel with a strong focus on relationships, potentially including this trope.

Please note that the description for **Letting Love Win** is quite brief, so it's difficult to make a definitive recommendation. However, based on the available information, it's worth considering.

Unfortunately, I don't have enough information to recommend books from the **For a Glance (Serpent's Throne Trilogy)** and **Something So Right: Something So, Book 1** series as they don't fit the enemies-to-lovers trope explicitly mentioned in the context.","**Recommendation**

- **Reign Returned: The Felserpent Chronicles** – The story follows Kyra, an Astral healer, and Sebastian, a Daeval assassin from rival realms. Their initial alliance is forced and hostile, but as they work together they develop a deep romance, fitting the enemies‑to‑lovers trope."
a story about a young person finding their identity,Medium,Semantic,"[{""title"": ""Black and British: A short, essential history"", ""author"": ""David Olusoga"", ""rating"": 4.8, ""score"": 11.2464}, {""title"": ""That Guy in Our Women's Studies Class"", ""author"": ""Allan D. Hunter"", ""rating"": 4.7, ""score"": 10.8535}, {""title"": ""Camp"", ""author"": ""Lev AC Rosen"", ""rating"": 4.5, ""score"": 10.8384}, {""title"": ""What God Starts, God Completes"", ""author"": ""Michael A. Milton"", ""rating"": 5.0, ""score"": 10.7616}, {""title"": ""Southern Storm (Cape Refuge, No. 2)"", ""author"": ""Terri Blackstock"", ""rating"": 4.6, ""score"": 10.3475}]","[{""title"": ""Rebuttal"", ""author"": """", ""rating"": 4.0, ""score"": 1.1429}, {""title"": ""Holding the Light; A Soldier's Journey"", ""author"": """", ""rating"": 5.0, ""score"": 1.1429}, {""title"": ""Difference Matters: Communicating Social Identity by Brenda J. Allen (2003-09-30)"", ""author"": """", ""rating"": 5.0, ""score"": 1.1644}, {""title"": ""No More Strangers Now: Young Voices from a New South Africa"", ""author"": ""DK Publishing"", ""rating"": 5.0, ""score"": 1.167}, {""title"": ""Here it Comes.... Don't Jump"", ""author"": """", ""rating"": 5.0, ""score"": 1.1746}]","Based on the context provided, here are some book recommendations that tell a story about a young person finding their identity:

1. **That Guy in Our Women's Studies Class** by Allan D. Hunter: This non-fiction memoir shares the story of a genderqueer individual, Derek, who navigates the complexities of identity and intersectionality in a women's studies class.
2. **Camp** by Lev AC Rosen: This novel follows 16-year-old Randy, who reinvents himself as ""Del"" to fit into a summer camp for queer teens, exploring the tension between self-acceptance and conformity.
3. **Holding the Light; A Soldier's Journey** by Abbie Combs: Although the blurb doesn't explicitly mention identity, this picture book shares a true story of a young person finding their purpose and overcoming challenges, which can be a powerful metaphor for self-discovery.

These books offer relatable and thought-provoking stories about identity, self-discovery, and growth, which may resonate with young readers and adults alike.","**Books that explore a young person discovering their identity**

| Title | Why it fits |
|-------|-------------|
| **That Guy in Our Women’s Studies Class** by Allan D. Hunter | A memoir‑style narrative of a gender‑queer male navigating women’s studies, race, and class. It follows Derek’s journey of self‑acceptance and the complex ways identity is formed. |
| **Camp** by Lev AC Rosen | A YA novel set at a queer camp where the protagonist Randy redefines himself, confronts toxic masculinity, and learns what true self‑love looks like. |

Both books offer relatable, coming‑of‑age stories where the protagonists grapple with and ultimately embrace their identities."
mystery thriller with unreliable narrator set in small town,Hard,Multi-attribute,"[{""title"": ""A Legacy of Lies: A Rock Ridge Mystery"", ""author"": """", ""rating"": 4.3, ""score"": 18.6105}, {""title"": ""Witch & Famous (A Westwick Witches Cozy Mystery): Westwick Witches Cozy Mysteries Series"", ""author"": ""Colleen Cross"", ""rating"": 3.9, ""score"": 18.2136}, {""title"": ""Guilty by Association"", ""author"": ""Brad Cooper"", ""rating"": 4.2, ""score"": 17.4948}, {""title"": ""The Association"", ""author"": """", ""rating"": 3.7, ""score"": 17.4118}, {""title"": ""Strangers' Kingdom"", ""author"": ""Brandon Barrows"", ""rating"": 4.7, ""score"": 17.1128}]","[{""title"": ""Lucky Penny: Miranda Vaughn Mysteries, Book 3"", ""author"": """", ""rating"": 4.4, ""score"": 0.8923}, {""title"": ""Gone the Next"", ""author"": """", ""rating"": 4.3, ""score"": 0.9392}, {""title"": ""Where Faintest Sunlights Flee: A Supernatural Thriller"", ""author"": """", ""rating"": 2.4, ""score"": 0.9417}, {""title"": ""Buffington"", ""author"": """", ""rating"": 4.2, ""score"": 0.9874}, {""title"": ""Hitman Boxset: A Romantic Thriller Collection (Boxset Series: Mystery Thriller Suspense Box Sets Book 9)"", ""author"": ""James Kipling"", ""rating"": 3.9, ""score"": 1.0168}]","Based on the Amazon dataset, I recommend the following books that fit your criteria:

1. **Guilty by Association** by Brad Cooper: This psychological thriller is set in a small town, and its fast-paced plot and unexpected twists make it a great fit for a mystery thriller with an unreliable narrator. (Rating: 4.2)
2. **A Legacy of Lies: A Rock Ridge Mystery**: Although not explicitly stated as an unreliable narrator, the book's complex characters and layered story make it a great fit for fans of mystery thrillers set in small towns. (Rating: 4.3)
3. **Witch & Famous (A Westwick Witches Cozy Mystery)**: This cozy mystery series has a small-town setting and features a cast of complex characters, including witches with their own secrets and motivations. While not necessarily an unreliable narrator, the book's blend of mystery and humor makes it a great fit for fans of the genre. (Rating: 3.9)

These recommendations are based on the provided Amazon dataset and may not be exhaustive, but they should provide a good starting point for finding a mystery thriller with an unreliable narrator set in a small town.","I’m sorry, but the data I have doesn’t include any titles that specifically match a mystery‑thriller with an unreliable narrator set in a small town."
best science fiction book for someone who liked The Martian,Hard,Multi-attribute,"[{""title"": ""Transit to Scorpio"", ""author"": ""Alan Burt Akers"", ""rating"": 3.7, ""score"": 18.1924}, {""title"": ""Playing with Pyramids: 12 Games for Icehouse Pieces"", ""author"": """", ""rating"": 5.0, ""score"": 18.1271}, {""title"": ""Old Man's War Boxed Set I: Old Man's War, The Ghost Brigades, The Last Colony"", ""author"": ""John Scalzi"", ""rating"": 4.7, ""score"": 16.1109}, {""title"": ""Touched by an Alien (Alien Novels, 1)"", ""author"": ""Gini Koch"", ""rating"": 4.2, ""score"": 15.8702}, {""title"": ""Pie in the Sky"", ""author"": ""Remy Lai"", ""rating"": 4.6, ""score"": 15.6939}]","[{""title"": ""Transit to Scorpio"", ""author"": ""Alan Burt Akers"", ""rating"": 3.7, ""score"": 0.8069}, {""title"": ""REVOLT OF THE GALAXY (Family d'Alembert series #10)"", ""author"": ""Stephen Goldin"", ""rating"": 4.4, ""score"": 0.9133}, {""title"": ""The Unexplainable Disappearance of Mars Patel"", ""author"": """", ""rating"": 4.7, ""score"": 1.0242}, {""title"": ""His Lessons on Love: A Logical Man's Guide to Dangerous Women Novel"", ""author"": """", ""rating"": 4.6, ""score"": 1.0515}, {""title"": ""Children of Mars"", ""author"": ""Paul Day"", ""rating"": 3.9, ""score"": 1.0621}]","Based on the Amazon dataset, I recommend:

1. **Old Man's War** by John Scalzi: This book is a New York Times bestselling science fiction novel that explores themes of space travel, intergalactic politics, and humanity's place in the universe. It has a similar sense of adventure and scope to The Martian, and is the first book in a popular series.

2. **REVOLT OF THE GALAXY** by Stephen Goldin: This book is the 10th installment in the Family d'Alembert series, which features epic space battles, intergalactic politics, and a sense of adventure reminiscent of The Martian. While it's part of a larger series, it can be read as a standalone novel.

3. **Transit to Scorpio** by Alan Burt Akers: This book is a science fiction adventure that follows the story of Dray Prescot and his wife, as they explore the galaxy and face various challenges. It has a similar sense of space travel and exploration to The Martian, and is part of a popular series.

All three of these books have received high ratings on Amazon and are recommended for fans of science fiction and adventure stories.","**Recommendation based on the Amazon dataset**

**Old Man’s War Boxed Set – John Scalzi**  
- *Why it fits:* This collection delivers a fast‑paced, realistic space‑opera adventure that blends survival, human ingenuity, and the challenges of a new frontier—much like the survival‑driven, scientifically grounded tone of *The Martian*.  

**Revolt of the Galaxy – Stephen Goldin**  
- *Why it fits:* Another high‑energy space‑adventure that explores planetary colonization, military strategy, and the human spirit in a hostile galaxy, echoing the lone‑survivor vibe of *The Martian*.

Both titles are solid science‑fiction choices that match the excitement and scientific curiosity of *The Martian*."
